sep=,
Date,Time,Item,SKU,Quantity,Unit price,Total discount,Unit cost price,Gross profit,Total (incl tax),Status
2025/02/10,08:55:14,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/10,08:54:34,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/10,08:51:31,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/10,08:51:31,Decaf,MM-DEC,1,7.00,0.00,,,7.00,Approved
2025/02/10,08:07:16,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/10,07:26:00,Syrup,MM-SYR,1,7.00,0.00,,,7.00,Approved
2025/02/10,07:26:00,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/10,07:18:35,Syrup,MM-SYR,1,7.00,0.00,,,7.00,Approved
2025/02/10,07:18:35,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/10,07:14:21,Danny De Vito,MM-DDV,1,25.00,0.00,,,25.00,Approved
2025/02/09,13:10:17,Trevor Noah,MM-TRE,1,42.00,0.00,,,42.00,Approved
2025/02/09,13:10:17,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/09,11:38:44,Tilda Swinton,MM-TSW,1,35.00,0.00,,,35.00,Approved
2025/02/09,11:07:47,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/09,11:05:43,Magic Johnson,MM-MAG,2,30.00,0.00,,,60.00,Approved
2025/02/09,10:56:51,Milkshakes (Standard),MIL001,2,50.00,0.00,,,100.00,Approved
2025/02/09,10:56:51,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/09,10:47:20,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/09,10:23:05,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/09,10:23:05,Decaf,MM-DEC,1,7.00,0.00,,,7.00,Approved
2025/02/09,09:59:14,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/09,09:53:58,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/09,09:50:14,Tilda Swinton,MM-TSW,1,35.00,0.00,,,35.00,Approved
2025/02/09,08:57:17,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/09,08:55:26,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/09,08:42:30,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/09,07:15:11,Barry White,MM-BAW,2,35.00,0.00,,,70.00,Approved
2025/02/08,13:14:37,Robert De Niro,MM-RDN,1,32.00,0.00,,,32.00,Approved
2025/02/08,12:59:31,MmFreeze,MM-FRZ,1,45.00,0.00,,,45.00,Approved
2025/02/08,12:39:09,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/08,10:47:44,Magic Johnson,MM-MAG,2,30.00,0.00,,,60.00,Approved
2025/02/08,10:23:26,Lewis Hamilton,MM-LEW,1,30.00,0.00,,,30.00,Approved
2025/02/08,10:23:26,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/08,10:23:26,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/08,10:08:55,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/08,09:25:45,Siya Kolisi,MM-SYK,2,40.00,0.00,,,80.00,Approved
2025/02/08,08:58:15,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/08,08:56:17,Trevor Noah,MM-TRE,1,42.00,0.00,,,42.00,Approved
2025/02/08,08:42:52,Tilda Swinton,MM-TSW,1,35.00,0.00,,,35.00,Approved
2025/02/08,08:17:38,Danny De Vito,MM-DDV,1,25.00,0.00,,,25.00,Approved
2025/02/08,08:14:22,Magic Johnson,MM-MAG,1,30.00,0.00,,,30.00,Approved
2025/02/08,07:29:09,Steve Austin,MM-AUS,1,40.00,0.00,,,40.00,Approved
2025/02/08,07:23:22,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
2025/02/08,07:11:13,Siya Kolisi,MM-SYK,1,40.00,0.00,,,40.00,Approved
